tau,K,div_prod,forward_model,forward_implied,prepaid_model,prepaid_implied,call,put,parity_residual_prepaid
1e-06,100.0,1.0,100.0,100.00000000000051,100.0,100.00000000000051,0.003989422806074871,0.003989422805562274,5.115907697472721e-13
0.02500095,100.0,1.0,100.0,100.00000000000006,100.0,100.00000000000006,0.6307885443001661,0.6307885443001081,5.684341886080802e-14
0.0500009,100.0,1.0,100.0,99.99999999999999,100.0,99.99999999999999,0.8920515018192501,0.8920515018192675,-1.4210854715202004e-14
0.07500085,100.0,1.0,100.0,100.00000000000004,100.0,100.00000000000004,1.092520479923723,1.092520479923674,4.263256414560601e-14
0.1000008,100.0,1.0,100.0,100.00000000000003,100.0,100.00000000000003,1.2615187433445598,1.2615187433445318,2.842170943040401e-14
0.12500075,100.0,1.0,100.0,100.0000000000001,100.0,100.0000000000001,1.410404730881907,1.4104047308818037,9.947598300641403e-14
0.1500007,100.0,1.0,100.0,99.99999999999997,100.0,99.99999999999997,1.5450038495197547,1.545003849519778,-2.842170943040401e-14
0.17500065,100.0,1.0,100.0,100.0,100.0,100.0,1.6687767109309275,1.6687767109309317,0.0
0.2000006,100.0,1.0,100.0,99.99999999999999,100.0,99.99999999999999,1.783978125808383,1.7839781258083984,-1.4210854715202004e-14
0.22500055,100.0,1.0,100.0,100.00000000000004,100.0,100.00000000000004,1.8921743109471243,1.8921743109470794,4.263256414560601e-14
0.24,100.0,1.0,100.0,100.00000000000001,100.0,100.00000000000001,1.954214624195365,1.9542146241953477,1.4210854715202004e-14
0.241,100.0,1.0,100.0,100.00000000000011,100.0,100.00000000000011,1.958280856672507,1.9582808566723977,1.1368683772161603e-13
0.242,100.0,1.0,100.0,100.00000000000004,100.0,100.00000000000004,1.962338656625333,1.9623386566252883,4.263256414560601e-14
0.243,100.0,1.0,100.0,100.00000000000011,100.0,100.00000000000011,1.9663880762575467,1.9663880762574397,1.1368683772161603e-13
0.244,100.0,1.0,100.0,100.0,100.0,100.0,1.9704291672360716,1.970429167236076,0.0
0.245,100.0,1.0,100.0,100.00000000000001,100.0,100.00000000000001,1.974461980699365,1.9744619806993522,1.4210854715202004e-14
0.246,100.0,1.0,100.0,100.00000000000001,100.0,100.00000000000001,1.978486567264318,1.9784865672643008,1.4210854715202004e-14
0.247,100.0,1.0,100.0,100.00000000000009,100.0,100.00000000000009,1.9825029770341367,1.9825029770340583,8.526512829121202e-14
