model,T,iv_atm,skew_atm,curv_atm,smile_rms
GBM,0.019178082191780823,0.20000000000000512,-1.5463820700136145e-13,6.153807622208039e-11,8.220536548805989e-05
GBM,0.038356164383561646,0.19999999999993776,-1.0547118733939011e-13,4.3112905535852196e-10,1.5295552902277666e-10
GBM,0.057534246575342465,0.19999999999966575,5.313210189277547e-14,1.687448366979256e-09,6.6115090906981156e-12
GBM,0.0821917808219178,0.19999999999860876,6.344131569286623e-15,9.11144175980947e-09,5.828113028935161e-12
GBM,0.16666666666666666,0.199999999976191,1.4274296030894903e-14,1.5596884328279418e-07,2.2424522473235772e-11
GBM,0.25,0.20000000000000098,1.6653345369377386e-14,9.153675549970722e-12,1.5492003620069445e-12
GBM,0.5,0.2000000000000003,-1.6653345369377386e-14,9.416857316600027e-08,4.435450565445024e-12
GBM,1.0,0.20000000000010393,-1.0309213800090763e-14,3.535765784465423e-09,4.490323939484513e-12
GBM,2.0,0.2000000000154341,5.868321701590127e-14,-1.0080208776529737e-07,1.5030314633684377e-11
Merton,0.019178082191780823,0.1824785273661308,-0.2854039654434964,13.584065448556116,0.14665010959739805
Merton,0.038356164383561646,0.18544203507079293,-0.2297705657073527,7.194457181268459,0.0844607304195835
Merton,0.057534246575342465,0.18732817066984594,-0.19972924975806952,4.774897299116525,0.058823738001793385
Merton,0.0821917808219178,0.18901323509379414,-0.17330780119928382,3.2104355165196186,0.04194411064055602
Merton,0.16666666666666666,0.1921606792512159,-0.12138367523713187,1.2775610459379947,0.020462901850625905
Merton,0.25,0.1936902879763292,-0.0937831820559908,0.6847467315522893,0.01343350344826023
Merton,0.5,0.19564091923970126,-0.05517686948747623,0.20169744195112244,0.0067772161690967895
Merton,1.0,0.19680126396410494,-0.02984736702908924,0.05211024179193116,0.0035041044565849995
Merton,2.0,0.19742109772462585,-0.015449442915995105,0.012898470650197296,0.0017971980338462165
Kou,0.019178082191780823,0.16817262911316774,-0.2698456426390104,14.401862527765273,0.17926850973733718
Kou,0.038356164383561646,0.17087062257015181,-0.22682252120887136,8.20552651025869,0.1120279284961296
Kou,0.057534246575342465,0.17272358467209456,-0.20605973529130026,5.845561624382461,0.08307264603124674
Kou,0.0821917808219178,0.1745112872859871,-0.18841091317946418,4.276931441558661,0.06300789080571934
Kou,0.16666666666666666,0.17840036788840072,-0.15273184089915662,2.170375806951714,0.03512444945995495
Kou,0.25,0.18074434950665044,-0.13155399712402663,1.4031375571279647,0.024652095386506784
Kou,0.5,0.1846599221859155,-0.0955356598638001,0.6005404409223454,0.013665290250522228
Kou,1.0,0.18805881130626295,-0.06312283261157227,0.22068510735355276,0.007853696295247715
Kou,2.0,0.19060234845782476,-0.03791133461939022,0.06931921400561593,0.004481044317812405
VG,0.019178082191780823,0.1035985777283027,-2.688279663897867,232.9320527255623,0.24841465608112065
VG,0.038356164383561646,0.12832355210054414,-2.676800725589066,37.51015317388682,0.16164077645515768
VG,0.057534246575342465,0.14191294605456806,-2.488732776264185,-31.39496092500557,0.12345058899480024
VG,0.0821917808219178,0.1526369327486558,-1.8523694699765338,-22.889768960657882,0.0971647642811515
VG,0.16666666666666666,0.16928560103079465,-0.9234708443048996,-5.4884815697151295,0.06379975678409
VG,0.25,0.17594817680032887,-0.6152539162218369,-2.378842532439088,0.05206416989806334
VG,0.5,0.18334260293316404,-0.30575578440462886,-0.5648771457100316,0.03414528959135898
VG,1.0,0.18730752303502607,-0.15193050817589865,-0.13520470454947595,0.017703728905471422
VG,2.0,0.18934918982229143,-0.07565244935234902,-0.03285327008544105,0.008792808900615545
CGMY,0.019178082191780823,0.11283083386035803,-0.7680217817564031,174.1157096646222,0.2544189845909373
CGMY,0.038356164383561646,0.12504660801146134,-0.6628276844714897,75.65877765768167,0.16891960628908673
CGMY,0.057534246575342465,0.13204112620466357,-0.578701368446629,43.83034952436434,0.1297835293903277
CGMY,0.0821917808219178,0.13801502972201132,-0.5009193045333081,26.46826798698324,0.10113354545292265
CGMY,0.16666666666666666,0.1491240575935108,-0.35725055049377386,9.30798127321464,0.05871320267453632
CGMY,0.25,0.15492780502472556,-0.28699465024833754,5.009467701748909,0.04215880813456627
CGMY,0.5,0.16367664088051112,-0.19010077325166966,1.68994150145155,0.024254038171512785
CGMY,1.0,0.17078627019572348,-0.12021890111404528,0.5520138421010862,0.014412657162665175
CGMY,2.0,0.17622024734791572,-0.07260665567058591,0.17457462329506593,0.0085204154435369
