beta,american_logsumexp,eep_logsumexp,time_logsumexp,american_sqrt,eep_sqrt,time_sqrt
1,522.523063923016,513.060571326849,0.0860,15.576496279822,6.114003683655,0.0777
1.6237767,522.473215177112,513.010722580945,0.0834,20.617279399492,11.154786803325,0.0787
2.6366509,522.443830502061,512.981337905894,0.0827,29.431545517466,19.969052921299,0.0784
4.2813324,522.426086350933,512.963593754766,0.0840,44.462779906270,35.000287310103,0.0798
6.951928,522.415252551423,512.952759955256,0.0835,69.603997914643,60.141505318476,0.0804
11.288379,522.408618303056,512.946125706889,0.0852,111.101719269205,101.639226673038,0.0792
18.329807,522.404556517915,512.942063921748,0.0847,179.044002924591,169.581510328424,0.0754
29.763514,522.402073262810,512.939580666643,0.0853,289.788485439822,280.325992843655,0.0766
48.329302,522.400560797635,512.938068201468,0.0868,469.903554506866,460.441061910698,0.0769
78.475997,522.399648587468,512.937155991301,0.0836,762.556112276429,753.093619680262,0.0759
127.4275,522.399111645281,512.936619049114,0.0834,1237.870409584618,1228.407916988451,0.0750
206.91381,522.398812652614,512.936320056447,0.0852,2009.739450699499,2000.276958103332,0.0774
335.98183,522.398663218039,512.936170621872,0.0867,3263.119363652557,3253.656871056390,0.0757
545.55948,522.398600099480,512.936107503313,0.0896,5298.349684442384,5288.887191846217,0.0765
885.86679,522.398578353479,512.936085757312,0.0868,8603.121672153040,8593.659179556873,0.0759
1438.4499,522.398572211159,512.936079614992,0.0889,13969.340858264663,13959.878365668495,0.0790
2335.7215,522.398570731425,512.936078135258,0.0874,22682.887132868476,22673.424640272311,0.0766
3792.6902,522.398570386996,512.936077790829,0.0834,36831.743543831661,36822.281051235492,0.0778
6158.4821,522.398570289179,512.936077693012,0.0862,59806.329087637336,59796.866595041167,0.0788
10000,522.398570252347,512.936077656180,0.0871,97111.927675798172,97102.465183202003,0.0792
